date,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm
1964-01-01,-5.1,-7.8,-3.9,0.2
1964-01-06,-2.8,-3.9,-2.2,0.0
1964-01-17,-20.3,-22.8,-17.8,0.1
1964-01-19,-5.0,-17.2,-2.2,2.0
1964-01-22,-1.8,-7.8,0.0,1.0
1964-01-25,-11.9,-22.2,-8.9,1.0
1964-01-30,-12.1,-16.1,-10.0,0.2
1964-02-06,-2.9,-5.0,0.0,3.0
1964-02-09,-11.9,-16.1,-10.0,1.2
1964-02-13,-5.0,-12.2,0.0,1.3
1964-02-18,-15.2,-22.2,-8.9,0.0
1964-02-19,-16.0,-20.0,-13.9,0.2
1964-02-20,-9.1,-15.0,-6.1,1.9
1964-02-25,-20.4,-27.2,-11.1,0.0
1964-02-26,-18.3,-26.1,-8.9,0.0
1964-02-27,-16.3,-27.2,-7.8,0.0
1964-02-28,-14.1,-22.2,-6.1,0.0
1964-02-29,-11.7,-18.9,-6.1,0.0
1964-03-01,-7.1,-11.1,-2.2,0.0
1964-03-03,-7.4,-12.2,-1.1,0.0
1964-03-07,-19.4,-27.2,-12.8,0.0
1964-03-08,-15.2,-21.1,-8.9,0.0
1964-03-09,-15.3,-22.2,-10.0,0.0
1964-03-10,-7.1,-12.2,-1.1,3.3
1964-03-11,-6.9,-12.2,-2.8,0.0
1964-03-15,-11.8,-17.8,-3.9,0.0
1964-03-16,-11.4,-17.2,-5.0,0.0
1964-03-17,-9.8,-17.8,-2.8,0.0
1964-03-18,-5.6,-7.8,-3.9,9.2
1964-03-19,-2.0,-6.1,0.0,0.4
1964-03-21,-8.2,-15.0,-2.2,0.0
1964-03-22,-8.9,-17.2,-2.8,0.0
1964-03-23,-3.0,-7.2,0.0,1.2
1964-03-24,-0.8,-2.8,1.1,7.0
1964-03-26,1.4,0.0,3.9,5.7
1964-03-29,-2.6,-7.8,2.2,0.0
1964-03-30,-1.7,-3.9,7.2,0.0
1964-03-31,-1.9,-3.9,0.0,0.5
1964-04-01,-1.7,-2.8,0.0,2.0
1964-04-02,-0.3,-2.8,2.2,3.3
1964-04-03,0.6,0.0,2.2,4.4
1964-04-04,1.2,0.0,2.8,1.3
1964-04-05,1.2,0.0,2.2,9.6
1964-04-07,1.4,0.0,3.9,0.2
1964-04-09,1.1,0.0,2.2,0.9
1964-04-10,1.4,0.0,2.8,0.5
1964-04-11,1.5,0.0,2.2,0.0
1964-04-12,2.0,0.0,5.0,0.0
1964-04-13,3.3,1.1,7.8,0.0
1964-04-14,3.8,-1.1,8.9,0.0
1964-04-15,3.9,0.0,7.8,0.0
1964-04-16,4.4,2.2,7.8,0.0
1964-04-17,5.3,0.0,10.0,0.0
1964-04-18,6.1,2.8,10.0,0.5
1964-04-20,6.2,0.0,11.1,0.0
1964-04-21,6.9,2.8,11.1,0.5
1964-04-25,6.8,2.8,11.1,0.0
1964-04-27,3.8,-2.2,10.0,0.0
1964-04-28,6.1,-1.1,10.0,0.0
1964-04-29,8.9,5.0,13.9,0.0
1964-05-01,11.7,3.9,17.8,0.0
1964-05-02,13.0,7.8,18.9,0.0
1964-05-03,11.2,7.8,17.2,0.3
1964-05-04,11.8,6.1,17.2,0.2
1964-05-05,10.2,7.2,13.9,2.2
1964-05-06,10.2,3.9,15.0,0.0
1964-05-07,11.2,7.2,17.2,0.3
1964-05-08,13.8,3.9,20.0,0.0
1964-05-09,13.9,0.0,18.9,0.0
1964-05-10,15.8,12.2,22.2,0.0
1964-05-12,13.2,5.0,18.9,0.0
